"Time at Run","Manifest Url","Total Drift In Seconds","Play Time", "Total Length of Video In Seconds", "Name of Video", "Admin Link", "Type"
2020-05-30 19:33:42.923084,https://ve.hudl.com/47313/275183/115/5ed07c53ff0c5c032401d115/video.m3u8,1.47,149,149,4k,https://admin.hudl.com/admin/record/teams/275183/videos/5ed07c525155d0020486e32c,Web
2020-05-30 19:35:36.753894,https://ve.hudl.com/47313/275183/918/5e95d056041f0b0e70427918/video.m3u8,0.14,235,242,4K Soccer Test,https://admin.hudl.com/admin/record/teams/275183/videos/5e95d057f28d8e0f34228906,Web
2020-05-30 19:36:13.388672,https://ve.hudl.com/47313/275183/b32/5e8e2fc7b53f9309e87dbb32/video.m3u8,0.12,36,75,try again,https://admin.hudl.com/admin/record/teams/275183/videos/5e8e2fc6747fb6075cbcb7c4,Web
2020-05-30 19:36:47.805108,https://ve.hudl.com/47313/275183/569/5e8dd73ea6771109a863b569/video.m3u8,0.05,5,5,US-East Test,https://admin.hudl.com/admin/record/teams/275183/videos/5e8dd73e8b78cd0860947c0a,Web
2020-05-30 19:37:19.430335,https://ve.hudl.com/47313/275183/343/5e5933d74206ff0b0049a343/video.m3u8,0.02,6,6,Casey's Code is Perfect,https://admin.hudl.com/admin/record/teams/275183/videos/5e5931d335397d032888a616,Web
2020-05-30 19:38:08.697264,https://ve.hudl.com/47313/275183/9c4/5e56885757981f10241df9c4/video.m3u8,0.11,65,65,2 movs,https://admin.hudl.com/admin/record/teams/275183/videos/5e568856e86f340dd48016dd,Web
2020-05-30 19:39:07.360297,https://ve.hudl.com/47313/275183/34b/5e3c732fd21acf05b4e8e34b/video.m3u8,0.69,59,59,Untitled Video,https://admin.hudl.com/admin/record/teams/275183/videos/5e3c732d317c890de4ad5493,Web
2020-05-30 19:40:51.146162,https://ve.hudl.com/47313/275183/276/5e29bd67578d7d0f7023f276/video.m3u8,0.19,149,149,close out test,https://admin.hudl.com/admin/record/teams/275183/videos/5e29bd668e67030e9cf738bb,Web
2020-05-30 19:41:31.376831,https://ve.hudl.com/47313/275183/e98/5cbdd4264debb20b88532e98/video.m3u8,0.1,32,32,Test Publish Sessions,https://admin.hudl.com/admin/record/teams/275183/videos/5cbdd42667237b078482f6ad,Web
2020-05-30 19:45:39.582002,https://ve.hudl.com/47313/275183/971/5b6da8cddfd854201ce41971/video.m3u8,0.03,438,438,test 2,https://admin.hudl.com/admin/record/teams/275183/videos/5b6da8ceecf77c104c5c0545,Web
2020-05-30 19:47:51.281946,https://ve.hudl.com/47313/275183/664/5b5f8d03dfd854127c8d3664/video.m3u8,0.1,264,264,Hotfix Test,https://admin.hudl.com/admin/record/teams/275183/videos/5b5f8d05ecf77b12a8aef2a9,iOS
2020-05-30 19:50:28.954750,https://ve.hudl.com/47313/275183/4c3/5b2d122e9a915b09c467d4c3/video.m3u8,0.1,357,357,One Media Segment,https://admin.hudl.com/admin/record/teams/275183/videos/5b2d122da484cb0e4cd204c5,Web
2020-05-30 19:53:24.989814,https://ve.hudl.com/47313/275183/66a/5ac64c9932dc582bb46c066a/video.m3u8,0.1,405,404,1080p Test,https://admin.hudl.com/admin/record/teams/275183/videos/5ac64c970ca9d137c82f450c,Web
2020-06-01 08:18:33.722850,https://ve.hudl.com/47313/275183/115/5ed07c53ff0c5c032401d115/video.m3u8,0.06,149,149,4k,https://admin.hudl.com/admin/record/teams/275183/videos/5ed07c525155d0020486e32c,Web
2020-06-01 08:20:13.686179,https://ve.hudl.com/47313/275183/918/5e95d056041f0b0e70427918/video.m3u8,0.12,224,242,4K Soccer Test,https://admin.hudl.com/admin/record/teams/275183/videos/5e95d057f28d8e0f34228906,Web
2020-06-01 08:21:00.017161,https://ve.hudl.com/47313/275183/b32/5e8e2fc7b53f9309e87dbb32/video.m3u8,0.1,67,75,try again,https://admin.hudl.com/admin/record/teams/275183/videos/5e8e2fc6747fb6075cbcb7c4,Web
2020-06-01 08:29:15.906767,https://ve.hudl.com/47313/275183/115/5ed07c53ff0c5c032401d115/video.m3u8,0.07,149,149,4k,https://admin.hudl.com/admin/record/teams/275183/videos/5ed07c525155d0020486e32c,Web
